Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
Saddiq Bey,DET,SF,31,30.9,14.3,4.4,1.6,4.9,12,40.8,1.8,5.8
Killian Hayes,DET,PG,31,26.8,9.1,2.8,5.3,3.4,9.1,37.4,1.1,3.8
Kevon Looney,GSW,C,80,21.1,6,7.3,2,2.5,4,63,0,0
Draymond Green,GSW,PF,46,28.9,7.5,7.3,7,2.8,5.3,52.5,0.4,1.3
Stephen Curry,GSW,PG,64,34.5,25.5,5.2,6.3,8.4,19.2,43.7,4.5,11.7
Andrew Wiggins,GSW,SF,73,31.9,17.2,4.5,2.2,6.5,14,46.6,2.2,5.2
Klay Thompson,GSW,SG,32,29.4,20.4,3.9,2.8,7.5,17.6,42.9,3.6,9.3
Alperen Şengün,HOU,C,72,28.9,14.8,9,3.9,6,10.2,55.3,0.3,1
Jabari Smith Jr.,HOU,PF,79,31,12.8,7.2,1.3,4.8,11.6,40.8,1.6,5.3
Kevin Porter Jr.,HOU,PG,59,34.3,19.2,5.3,5.7,6.9,15.3,44.2,2.3,6.4
Eric Gordon,HOU,SG,47,30.2,13.1,2.1,2.9,4.5,10.5,42.7,1.8,5.3
Jalen Green,HOU,SG,76,34.2,22.1,3.7,3.7,7.7,18.3,41.6,2.5,7.3
Myles Turner,IND,C,42,29.4,12.9,7.1,1,4.7,9.7,50.9,1.5,4.4
Jalen Smith,IND,PF,22,24.7,13.4,7.6,1,5,10,50.2,1.4,3.8
Tyrese Haliburton,IND,PG,26,36.1,17.5,4.3,9.6,6.2,12.1,51,2.2,5.5
Chris Duarte,IND,SG,39,28,13.1,4.1,2.1,4.8,11,43.2,1.7,4.6
Buddy Hield,IND,SG,26,35.6,18.2,5.1,4.8,6.7,15.3,43.8,3.6,9.6
Ivica Zubac,LAC,C,76,24.4,10.3,8.5,1.6,4.1,6.5,62.6,0,0
Marcus Morris Sr.,LAC,PF,54,29.9,15.4,4.4,2.1,5.6,12.8,43.4,2.5,6.3
Reggie Jackson,LAC,PG,75,31.2,16.8,3.6,4.8,6.2,15.3,43.1,2.2,6.8
Paul George,LAC,SF,31,34.7,24.3,6.9,5.7,8.4,19.7,42.1,3.1,8
Terance Mann,LAC,SG,33,28.6,10.8,5.2,2.6,4.1,8.4,48,0.9,2.6
Damian Jones,LAL,C,15,18.2,8.1,4.4,1,3.2,5,64,0,0.1
Anthony Davis,LAL,PF,40,35.1,23.2,9.9,3.1,8.8,17,53.2,0.3,1.9
Russell Westbrook,LAL,PG,78,34.3,18.5,7.4,7.1,7.1,15.8,44.4,1,3.4
LeBron James,LAL,SF,56,37.2,30.3,8.2,6.2,11.4,21.8,52.4,2.9,8
Malik Beasley,LAL,SG,18,25,12.1,2.9,1.5,4.2,10.5,40,2.9,7.5
Steven Adams,MEM,C,75,26.3,6.9,10,3.4,2.7,4.5,54.8,0,0.1
Jaren Jackson Jr.,MEM,PF,78,27.3,16.3,5.8,1.1,5.6,13.2,41.5,1.6,5
Ja Morant,MEM,PG,57,33.1,27.4,5.7,6.7,10,20.6,49.3,1.5,4.5
Dillon Brooks,MEM,SG,32,27.7,18.4,3.2,2.8,6.8,16,42.6,1.9,5.5
Desmond Bane,MEM,SG,76,29.8,18.2,4.4,2.7,6.5,13.5,46.1,3,6.9
Bam Adebayo,MIA,C,56,32.6,19.1,10.1,3.4,7.3,13,55.7,0,0.1
P.J. Tucker,MIA,PF,70,27.9,7.6,5.5,2.1,2.8,5.3,48.4,1,2.2
Kyle Lowry,MIA,PG,63,33.9,13.4,4.5,7.5,4.6,10.7,44,2.3,6.2
Jimmy Butler,MIA,SF,57,33.9,21.4,5.9,5.5,6.8,13.6,48,0.5,2
Tyler Herro,MIA,SG,10,32.6,20.7,5,4,7.5,17,44.7,2.7,7
Brook Lopez,MIL,C,13,22.9,12.4,4.1,0.5,4.6,8.1,46.6,1.2,3.8
Giannis Antetokounmpo,MIL,PF,67,32.9,29.9,11.6,5.8,10.3,18.6,55.3,1.1,3.6
Jrue Holiday,MIL,PG,64,32.9,18.3,4.5,6.8,7.1,13.3,50.1,1.9,4.7
Khris Middleton,MIL,SF,66,32.4,20.1,5.4,5.4,7.1,15.8,44.3,2.5,6.6
Grayson Allen,MIL,SG,61,27.3,11.1,3.4,1.5,4,8.8,44.8,2.4,5.9
Karl-Anthony Towns,MIN,C,74,33.5,24.6,9.8,3.6,8.7,16.4,52.9,2,5.4
Jarred Vanderbilt,MIN,PF,67,25.4,6.9,8.4,1.3,2.9,4.9,59,0,0.2
D'Angelo Russell,MIN,PG,65,32,18.1,3.3,7.1,6.2,15,41.1,2.7,8
Jaden McDaniels,MIN,SF,31,25.8,9.2,4.2,1.1,3.6,7.9,46,1.1,3.6
Anthony Edwards,MIN,SG,72,34.3,21.3,4.8,3.8,7.6,17.3,44.1,3,8.4
Jonas Valančiūnas,NOP,C,74,30.3,17.8,11.4,2.6,6.5,12,54.4,0.9,2.5
Herbert Jones,NOP,SF,69,29.9,9.5,3.8,2.1,3.6,7.5,47.6,0.9,2.7
Devonte' Graham,NOP,PG,63,28.4,11.9,2.3,4.2,3.9,10.5,36.3,2.5,7.4
Brandon Ingram,NOP,SF,55,34,22.7,5.8,5.6,8,17.3,46.1,1.4,4.3
Josh Hart,NOP,SG,40,33.5,13.4,7.8,4.1,5,10.2,50.5,1.1,3.6
Alec Burks,NYK,SG,44,28.6,11.7,4.9,3,4,10,40.4,2,5.5
Mitchell Robinson,NYK,C,62,25.7,8.5,8.6,0.5,3.5,5,76.1,0,0
Julius Randle,NYK,PF,72,35.3,20.1,9.9,5.1,7.3,16.5,44.4,1.5,4.6
Evan Fournier,NYK,SG,80,29.5,14.1,2.6,2.1,5,11.5,41.7,3,7.7
RJ Barrett,NYK,SF,70,34.5,20,5.8,3,6.7,16,40.8,1.7,5.8
Aleksej Pokuševski,OKC,PF,12,20.2,7.6,5.2,2.1,2.9,7.1,40.8,0.9,3.1
Darius Bazley,OKC,PF,53,27.9,10.8,6.3,1.4,4.1,9.7,42.2,1.2,4
Shai Gilgeous-Alexander,OKC,SG,56,34.7,24.5,5,5.9,8.5,18.8,45.3,1.7,5.6
Luguentz Dort,OKC,SG,51,32.6,17.2,4.2,1.7,5.8,14.4,40.4,2.5,7.5
Josh Giddey,OKC,PG,54,31.5,12.5,7.8,6.4,5,11.9,41.9,1.3,4.9
Mo Bamba,ORL,C,69,25.7,10.6,8.1,1.2,4,8,48,1.5,4
Wendell Carter Jr.,ORL,PF,61,29.9,15,10.5,2.8,5.8,11.2,52.5,1.1,3.5
Cole Anthony,ORL,PG,65,31.7,16.3,5.4,5.7,5.6,14,39.1,1.9,6
Franz Wagner,ORL,SF,79,30.7,15.2,4.5,2.9,5.6,11.5,46.8,1.2,3.4
Jalen Suggs,ORL,SG,45,27.2,11.8,3.6,4.4,4.2,11.5,36.1,1.3,4.1
Joel Embiid,PHI,C,68,33.8,30.6,11.7,4.2,10.2,20.4,49.9,1.4,3.8
Tobias Harris,PHI,PF,72,34.8,17.2,6.8,3.5,6.8,13.8,48.2,1.4,4
Tyrese Maxey,PHI,PG,74,35.3,17.5,3.2,4.3,6.8,14,48.5,1.8,4.2
Danny Green,PHI,SF,28,21.8,5.9,2.5,1,2.1,5.4,39.4,1.7,4.6
Matisse Thybulle,PHI,SG,50,25.5,5.7,2.3,1.1,2.2,4.4,50,0.9,2.4
Deandre Ayton,PHO,C,58,29.5,17.2,10.2,1.4,7.8,12,63.4,0.1,0.2
Jae Crowder,PHO,PF,67,28.1,9.4,5.3,1.9,3.2,7.8,39.9,2.1,5.4
Chris Paul,PHO,PG,65,32.9,14.7,4.4,10.8,5.5,11.3,49.3,1,2.8
Mikal Bridges,PHO,SF,82,34.8,14.2,4.2,2.3,5.5,9.6,53.4,1.4,3.8
Devin Booker,PHO,SG,68,34.5,26.8,5,4.8,9.7,20.9,46.6,2.7,7
Jusuf Nurkić,POR,C,56,28.2,15,11.1,2.8,6.2,11,53.5,0.2,0.6
Robert Covington,POR,PF,40,29.8,7.6,5.7,1.4,2.7,6.7,40.3,1.9,5.2
Damian Lillard,POR,PG,29,36.4,24,4.1,7.3,7.5,19.1,40.2,3.2,10
Norman Powell,POR,SG,39,33.3,18.7,3.3,2.1,6.5,13.3,45.6,2.4,5.9
Anfernee Simons,POR,SG,30,29.5,17.3,2.6,3.9,6.1,13.6,44.3,3.1,7.8
Domantas Sabonis,SAC,C,62,34.6,18.9,12.1,5.2,7.5,13,57.7,0.4,1.3
Davion Mitchell,SAC,PF,75,27.7,11.5,2.2,4.2,4.4,10.5,41.8,1.4,4.5
De'Aaron Fox,SAC,PG,59,35.3,23.2,3.9,5.6,8.7,18.2,47.3,1.3,3.9
Harrison Barnes,SAC,SF,77,33.6,16.4,5.6,2.4,5.2,11,47.3,1.9,4.7
Tyrese Haliburton,SAC,SG,77,34.1,15.3,4,8.2,5.5,11,47.3,2.1,5.1
Jakob Poeltl,SAS,C,68,29,13.5,9.3,2.8,6,9.8,61.8,0,0
Doug McDermott,SAS,SF,51,24,11.3,2.3,1.3,4.2,9.1,46.2,2.1,5
Dejounte Murray,SAS,PG,68,34.8,21.1,8.3,9.2,8.4,18.3,46.2,1.4,4.3
Keldon Johnson,SAS,SF,75,31.9,17,6.1,2.1,6.3,13.5,46.6,2.1,5.3
Derrick White,SAS,SG,49,30.3,14.4,3.5,5.6,5,11.6,42.6,1.7,5.3
Precious Achiuwa,TOR,C,73,23.6,9.1,6.5,1.1,3.4,7.3,44.9,0.9,2.5
Pascal Siakam,TOR,PF,68,37.9,22.8,8.5,5.3,8.9,18,49.4,1.3,3.7
Fred VanVleet,TOR,PG,65,37.9,20.3,4.4,6.7,6.8,16.7,40.3,3.7,9.7
OG Anunoby,TOR,SF,48,36,17.1,5.5,2.6,6.3,14.6,44.3,2.4,6.6
Gary Trent Jr.,TOR,SG,70,35,18.3,2.7,2,6.5,15.3,41.4,3,7.8
Rudy Gobert,UTA,C,56,32.1,15.6,14.7,1.1,5.8,8.2,71.3,0,0.1
Rudy Gay,UTA,PF,55,18.9,8.1,4.4,1,2.8,6.8,41.2,1.3,3.8
Mike Conley,UTA,PG,72,28.6,13.7,3,5.3,4.8,10.8,44.4,2.2,5.5
Bojan Bogdanović,UTA,SF,69,30.9,18.1,4.3,1.7,6.2,13.4,45.5,2.6,6.8
Donovan Mitchell,UTA,SG,67,33.8,25.9,4.2,5.3,9.1,20.5,44.8,3.5,9.8
Kristaps Porziņģis,WAS,C,51,29.1,20.2,8.1,2.3,7,14.5,48.5,1.6,4.8
Rui Hachimura,WAS,PF,42,22.5,11.3,3.8,1.1,4.4,8.8,49.1,1.2,2.5
Spencer Dinwiddie,WAS,PG,67,30.2,13.7,4.2,5.2,4.4,11.2,39.3,1.7,5.2
Kyle Kuzma,WAS,SF,66,33.4,17.1,8.5,3.5,6.5,15,45.2,2,6.2
Bradley Beal,WAS,SG,40,36,23.2,4.7,6.6,8.4,18.3,45.1,1.6,5.3
