"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Shai Gilgeous-Alexander","OKC","PG",68,35.5,31.4,4.8,5.5,10.7,20.3,52.6,1,2.5
"Markelle Fultz","ORL","PG",60,29.6,14,3.9,5.7,5.8,11.3,51.4,0.4,1.4
"James Harden","PHI","PG",58,36.8,21,6.1,10.7,6.5,14.9,43.6,2.8,7.3
"Chris Paul","PHO","PG",59,32,13.9,4.3,8.9,5.1,11,46.4,1.7,4.3
"Damian Lillard","POR","PG",58,36.3,32.2,4.8,7.3,9.8,20.7,47.2,4.2,11.3
"De'Aaron Fox","SAC","PG",73,33.4,25,4.2,6.1,9.3,18.2,51.1,1.6,4.9
"Tre Jones","SAS","PG",68,29.2,12.9,3.6,6.6,5.1,11.2,45.9,0.6,2
"Fred VanVleet","TOR","PG",69,36.7,19.3,4.1,7.2,6.3,16.1,39.3,3,8.8
"Mike Conley","UTA","PG",67,30.3,11.9,2.7,6.7,4,9.3,43,1.9,5
"Monte Morris","WAS","PG",62,27.3,10.3,3.4,5.3,4,8.7,46.4,1.3,3.2
"Trae Young","ATL","PG",54,36,25.7,2.8,10.8,8,18.7,43,3.2,8.7
"Jrue Holiday","BOS","PG",69,32.8,12.5,5.4,4.8,4.8,10,48,2,4.7
"Spencer Dinwiddie","BKN","PG",48,30.7,12.6,3.3,6,4.1,10.4,39.1,1.9,5.8
"Tre Mann","CHA","PG",28,31,11.9,4.5,5.2,4.5,9.9,45.3,1.4,3.8
"Coby White","CHI","PG",78,36.5,19.1,4.5,5.1,6.8,15.3,44.7,2.6,7
"Darius Garland","CLE","PG",57,33.4,18,2.7,6.5,6.6,14.8,44.6,2.3,6.2
"Luka Dončić","DAL","PG",70,37.5,33.9,9.2,9.8,11.5,23.6,48.7,4.1,10.6
"Jamal Murray","DEN","PG",59,31.5,21.2,4.1,6.5,8,16.7,48.1,2.5,5.8
"Cade Cunningham","DET","PG",62,33.5,22.7,4.3,7.5,8.5,18.8,44.9,1.9,5.4
"Stephen Curry","GSW","PG",74,32.7,26.4,4.5,5.1,8.8,19.5,45,4.8,11.8
"Fred VanVleet","HOU","PG",73,36.8,17.4,3.8,8.1,5.8,13.9,41.6,3.1,8
"Tyrese Haliburton","IND","PG",68,32.2,20.1,3.9,10.9,7.2,15.2,47.7,2.8,7.8
"James Harden","LAC","PG",72,34.3,16.6,5.1,8.5,4.9,11.4,42.8,2.6,6.8
"D'Angelo Russell","LAL","PG",69,32.7,18,3.1,6.3,6.5,14.2,45.6,3,7.2
"Marcus Smart","MEM","PG",20,30.3,14.5,2.7,4.3,5.1,11.9,43,2.1,6.7
"Kyle Lowry","MIA","PG",35,28,8.2,3.5,4,2.8,6.5,42.6,1.7,4.4
"Damian Lillard","MIL","PG",73,35.3,24.3,4.4,7,7.4,17.5,42.4,3,8.5
"Mike Conley","MIN","PG",76,28.9,11.4,2.9,5.9,3.9,8.5,45.7,2.4,5.3
"CJ McCollum","NOP","PG",66,32.7,20,4.3,4.6,7.3,16,45.9,3.6,8.4
"Jalen Brunson","NYK","PG",77,35.4,28.7,3.6,6.7,10.3,21.4,47.9,2.7,6.8
"Shai Gilgeous-Alexander","OKC","PG",75,34,30.1,5.5,6.2,10.6,19.8,53.5,1.3,3.6
"Anthony Black","ORL","PG",33,16.9,4.6,2,1.3,1.7,3.6,46.6,0.5,1.4
"Tyrese Maxey","PHI","PG",70,37.5,25.9,3.7,6.2,9,20,45,2.8,7.5
"Devin Booker","PHO","PG",68,36,27.1,4.5,6.9,9.4,19.2,49.2,2.2,6.1
"Scoot Henderson","POR","PG",32,28.5,14,3.1,5.4,5,12.9,38.5,1.4,4.3
"De'Aaron Fox","SAC","PG",74,35.9,26.6,4.6,5.6,9.7,20.9,46.5,2.9,7.8
"Tre Jones","SAS","PG",65,29.2,11.3,3.5,6,4.2,9.5,44.2,0.8,2.4
"Immanuel Quickley","TOR","PG",68,29.2,17,3.8,4.9,5.7,13.1,43.4,2.5,6.4
"Kevonte George","UTA","PG",51,26.6,18.7,2.6,4.9,6.5,13.3,48.7,1.6,4.2
"Tyus Jones","WAS","PG",66,29.3,12,2.7,7.3,4.9,10.1,48.9,1.6,3.9
