"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA","Year","Category"
"Jalen Suggs","ORL","SG",45,27.2,11.8,3.6,4.4,4.2,11.5,36.1,1.3,4.1,"2021-22","Non-Playoff"
"Jusuf Nurkić","POR","C",56,28.2,15,11.1,2.8,6.2,11,53.5,0.2,0.6,"2021-22","Non-Playoff"
"Robert Covington","POR","PF",40,29.8,7.6,5.7,1.4,2.7,6.7,40.3,1.9,5.2,"2021-22","Non-Playoff"
"Damian Lillard","POR","PG",29,36.4,24,4.1,7.3,7.5,19.1,40.2,3.2,10,"2021-22","Non-Playoff"
"Norman Powell","POR","SG",39,33.3,18.7,3.3,2.1,6.5,13.3,45.6,2.4,5.9,"2021-22","Non-Playoff"
"Anfernee Simons","POR","SG",30,29.5,17.3,2.6,3.9,6.1,13.6,44.3,3.1,7.8,"2021-22","Non-Playoff"
"Domantas Sabonis","SAC","C",62,34.6,18.9,12.1,5.2,7.5,13,57.7,0.4,1.3,"2021-22","Non-Playoff"
"Davion Mitchell","SAC","PF",75,27.7,11.5,2.2,4.2,4.4,10.5,41.8,1.4,4.5,"2021-22","Non-Playoff"
"De'Aaron Fox","SAC","PG",59,35.3,23.2,3.9,5.6,8.7,18.2,47.3,1.3,3.9,"2021-22","Non-Playoff"
"Harrison Barnes","SAC","SF",77,33.6,16.4,5.6,2.4,5.2,11,47.3,1.9,4.7,"2021-22","Non-Playoff"
"Tyrese Haliburton","SAC","SG",77,34.1,15.3,4,8.2,5.5,11,47.3,2.1,5.1,"2021-22","Non-Playoff"
"Kristaps Porziņģis","WAS","C",51,29.1,20.2,8.1,2.3,7,14.5,48.5,1.6,4.8,"2021-22","Non-Playoff"
"Rui Hachimura","WAS","PF",42,22.5,11.3,3.8,1.1,4.4,8.8,49.1,1.2,2.5,"2021-22","Non-Playoff"
"Spencer Dinwiddie","WAS","PG",67,30.2,13.7,4.2,5.2,4.4,11.2,39.3,1.7,5.2,"2021-22","Non-Playoff"
"Kyle Kuzma","WAS","SF",66,33.4,17.1,8.5,3.5,6.5,15,45.2,2,6.2,"2021-22","Non-Playoff"
"Bradley Beal","WAS","SG",40,36,23.2,4.7,6.6,8.4,18.3,45.1,1.6,5.3,"2021-22","Non-Playoff"
"LaMelo Ball","CHA","PG",36,35.2,23.3,6.4,8.4,8,19.4,41.1,4,11.5,"2022-23","Non-Playoff"
"Terry Rozier","CHA","SG",63,35.3,21.1,4.1,5.1,7.8,18.9,41.5,2.6,8,"2022-23","Non-Playoff"
"Gordon Hayward","CHA","SF",50,31.5,14.7,4.3,4.1,5.5,11.2,49,1,3,"2022-23","Non-Playoff"
"P.J. Washington","CHA","PF",73,32.6,15.7,4.9,2.4,6,13.4,44.4,2,5.7,"2022-23","Non-Playoff"
"Mason Plumlee","CHA","C",79,26.5,10.8,8.9,3.1,4.4,6.8,65,0,0.1,"2022-23","Non-Playoff"
"Luka Dončić","DAL","PG",66,36.2,32.4,8.6,8,11.1,22.3,49.8,2.8,8,"2022-23","Non-Playoff"
"Spencer Dinwiddie","DAL","SG",68,34,17.3,3.4,5.8,5.8,13,44.6,2.5,6.5,"2022-23","Non-Playoff"
"Tim Hardaway Jr.","DAL","SF",71,30.3,14.4,3.5,1.8,4.8,12,40,2.9,8,"2022-23","Non-Playoff"
"Dorian Finney-Smith","DAL","PF",65,31.2,8.3,4.6,1.5,2.9,7,41.4,1.9,5.5,"2022-23","Non-Playoff"
"Dwight Powell","DAL","C",76,19.2,6.7,4.1,0.9,2.5,3.8,65.8,0,0.1,"2022-23","Non-Playoff"
"Cade Cunningham","DET","PG",12,33.3,19.9,6.2,6,7.3,18.1,41.5,1.4,5.1,"2022-23","Non-Playoff"
"Jaden Ivey","DET","SG",73,31.1,16.3,3.9,5.2,5.8,13.6,41.6,1.6,5.2,"2022-23","Non-Playoff"
"Bojan Bogdanović","DET","SF",59,32,21.6,3.8,2.6,7.3,14.5,48.8,2.5,6,"2022-23","Non-Playoff"
"Isaiah Stewart","DET","PF",47,28.3,11.3,8.1,1.4,4,9,44.2,1.3,4.1,"2022-23","Non-Playoff"
"Jalen Duren","DET","C",31,24.9,9.1,8.9,1.1,3.8,6,63.9,0,0,"2022-23","Non-Playoff"
"Kevin Porter Jr.","HOU","PG",59,34.3,19.2,5.3,5.7,6.8,15.3,44.2,2.3,6.6,"2022-23","Non-Playoff"
"Jalen Green","HOU","SG",76,34.2,22.1,3.7,3.7,7.7,18.3,42.7,2.5,7.3,"2022-23","Non-Playoff"
"Eric Gordon","HOU","SF",69,28.5,12.4,2.1,2.7,4.2,9.5,44.6,1.9,5.3,"2022-23","Non-Playoff"
"Jabari Smith Jr.","HOU","PF",79,31,12.8,7.2,1.3,4.7,11.4,40.8,1.6,5.6,"2022-23","Non-Playoff"
"Alperen Şengün","HOU","C",72,28.9,14.8,9,3.9,6,10.2,55.3,0.2,0.7,"2022-23","Non-Playoff"
"Tyrese Haliburton","IND","PG",56,33.6,20.7,3.7,10.4,7.1,14.5,49,2.9,7.2,"2022-23","Non-Playoff"
"Buddy Hield","IND","SG",73,31,16.8,5,2.8,6,13,46,3.6,8.5,"2022-23","Non-Playoff"
"Bennedict Mathurin","IND","SF",17,28.5,16.7,4.1,1.5,5.2,12,43.4,1.3,4.2,"2022-23","Non-Playoff"
"Jalen Smith","IND","PF",31,18.8,9.4,5.8,1,3.5,7.5,46.5,0.8,2.5,"2022-23","Non-Playoff"
"Myles Turner","IND","C",62,29.4,18,7.5,1.4,6.3,11.2,56,1.5,4.2,"2022-23","Non-Playoff"
"Markelle Fultz","ORL","PG",60,29.6,14,3.9,5.7,5.8,11.3,51.4,0.4,1.4,"2022-23","Non-Playoff"
"Jalen Suggs","ORL","SG",53,23.5,9.9,3,2.9,3.5,8.4,41.9,1.2,3.8,"2022-23","Non-Playoff"
"Franz Wagner","ORL","SF",80,32.6,18.6,4.1,3.5,6.7,14,48.5,1.6,4.5,"2022-23","Non-Playoff"
"Paolo Banchero","ORL","PF",72,33.8,20,6.9,3.7,6.5,15.3,42.7,1.2,4,"2022-23","Non-Playoff"
"Wendell Carter Jr.","ORL","C",57,29.9,15.2,8.7,2.3,5.6,11,50.3,1.4,3.9,"2022-23","Non-Playoff"
"Damian Lillard","POR","PG",58,36.3,32.2,4.8,7.3,9.8,20.7,47.2,4.2,11.3,"2022-23","Non-Playoff"
"Anfernee Simons","POR","SG",62,35,21.1,2.6,4.1,7.6,17.6,43.7,3.4,9.1,"2022-23","Non-Playoff"
"Josh Hart","POR","SF",51,33.4,9.5,8.2,3.9,3.7,7.3,50.4,0.8,2.6,"2022-23","Non-Playoff"
"Jerami Grant","POR","PF",63,35.7,20.5,4.5,2.4,7,14.6,47.5,2.3,6.1,"2022-23","Non-Playoff"
"Jusuf Nurkić","POR","C",52,26.8,13.3,9.1,2.9,5,10,51.9,0.8,2.5,"2022-23","Non-Playoff"
"Tre Jones","SAS","PG",68,29.2,12.9,3.6,6.6,5.1,11.2,45.9,0.6,2,"2022-23","Non-Playoff"
"Devin Vassell","SAS","SG",38,31,18.5,3.9,3.6,6.7,15.2,43.9,2.7,7,"2022-23","Non-Playoff"
"Keldon Johnson","SAS","SF",63,32.7,22,5,2.9,8.3,18.4,45.2,2.1,6,"2022-23","Non-Playoff"
"Jeremy Sochan","SAS","PF",56,26,11,5.3,2.5,4.3,9.5,45.3,0.6,2,"2022-23","Non-Playoff"
"Jakob Poeltl","SAS","C",72,26.5,12.5,9.1,2.7,5.5,8.8,62.9,0,0,"2022-23","Non-Playoff"
"Mike Conley","UTA","PG",67,30.3,11.9,2.7,6.7,4,9.3,43,1.9,5,"2022-23","Non-Playoff"
"Jordan Clarkson","UTA","SG",61,32.6,20.8,4,4.4,7.5,17.3,43.6,2.5,7.3,"2022-23","Non-Playoff"
"Lauri Markkanen","UTA","SF",66,34.4,25.6,8.6,1.9,8.7,17.3,50,3,7.7,"2022-23","Non-Playoff"
"Jarred Vanderbilt","UTA","PF",78,24,7.9,7.5,2.4,3.1,5.6,54.8,0.5,1.5,"2022-23","Non-Playoff"
"Kelly Olynyk","UTA","C",68,28.6,12.5,6.2,3.7,4.3,8.5,50,1.4,3.8,"2022-23","Non-Playoff"
"Monte Morris","WAS","PG",62,27.3,10.3,3.4,5.3,4,8.7,46.4,1.3,3.2,"2022-23","Non-Playoff"
"Bradley Beal","WAS","SG",50,33.5,23.2,3.9,5.4,8.8,17.6,50.6,1.6,4.2,"2022-23","Non-Playoff"
"Deni Avdija","WAS","SF",76,26.6,9.2,6.4,2.8,3.3,7.8,42.7,0.9,3,"2022-23","Non-Playoff"
"Kyle Kuzma","WAS","PF",64,35,21.2,7.2,3.7,7.9,17.8,44.8,2.5,7.5,"2022-23","Non-Playoff"
"Kristaps Porziņģis","WAS","C",65,32.6,23.2,8.4,2.7,8,16.1,49.8,2.1,5.5,"2022-23","Non-Playoff"
"Cam Thomas","BKN","SG",51,31.4,22.5,3.2,2.9,8,18,44.2,2.2,6,"2023-24","Non-Playoff"
"Dorian Finney-Smith","BKN","PF",56,28.4,8.5,4.7,1.6,3.2,7.5,42.1,1.7,4.9,"2023-24","Non-Playoff"
"Mikal Bridges","BKN","SF",82,34.8,19.6,4.5,3.6,6.9,15.8,43.6,2.7,7.2,"2023-24","Non-Playoff"
"Nic Claxton","BKN","C",71,29.8,11.8,9.9,2.1,5.2,8.2,62.9,0,0.1,"2023-24","Non-Playoff"
"Spencer Dinwiddie","BKN","PG",48,30.7,12.6,3.3,6,4.1,10.4,39.1,1.9,5.8,"2023-24","Non-Playoff"
"Brandon Miller","CHA","SF",68,32.2,17.3,4.3,2.4,6.4,14.6,44,2.5,6.7,"2023-24","Non-Playoff"
"Miles Bridges","CHA","SF",67,37.4,21,7.3,3.3,8.1,17.5,46.2,2.3,6.5,"2023-24","Non-Playoff"
"Nick Richards","CHA","C",51,26.3,9.7,8,0.8,3.9,5.6,69.1,0,0,"2023-24","Non-Playoff"
"P.J. Washington Jr.","CHA","PF",73,30.4,12.9,5.6,1.9,4.8,11.1,43.6,1.8,5.7,"2023-24","Non-Playoff"
"Terry Rozier","CHA","SG",61,33.4,19.8,4,5.6,7.2,16.4,44.3,2.4,6.7,"2023-24","Non-Playoff"
"Tre Mann","CHA","PG",28,31,11.9,4.5,5.2,4.5,9.9,45.3,1.4,3.8,"2023-24","Non-Playoff"
"Ausar Thompson","DET","SF",63,31,8.8,6.4,1.9,3.7,7.6,48.3,0.3,1.6,"2023-24","Non-Playoff"
"Cade Cunningham","DET","PG",62,33.5,22.7,4.3,7.5,8.5,18.8,44.9,1.9,5.4,"2023-24","Non-Playoff"
"Jaden Ivey","DET","SG",61,28.8,15.4,3.4,3.8,5.4,12.6,42.9,1.6,4.8,"2023-24","Non-Playoff"
"Jalen Duren","DET","C",60,29.1,13.8,11.6,2.4,5.7,9.2,61.9,0,0.1,"2023-24","Non-Playoff"
"Isaiah Stewart","DET","PF",45,30.9,10.9,6.6,1.6,4,8.3,48.7,1.5,3.8,"2023-24","Non-Playoff"
"Alperen Şengün","HOU","C",63,32.5,21.1,9.3,5,8.4,15.6,53.7,0.5,1.8,"2023-24","Non-Playoff"
"Dillon Brooks","HOU","SF",72,30.9,23.7,3.4,1.7,4.6,10.7,42.8,1.8,5.1,"2023-24","Non-Playoff"
"Fred VanVleet","HOU","PG",73,36.8,17.4,3.8,8.1,5.8,13.9,41.6,3.1,8,"2023-24","Non-Playoff"
"Jabari Smith Jr.","HOU","PF",76,31.9,13.7,8.1,1.6,5,11,45.4,1.8,5,"2023-24","Non-Playoff"
"Jalen Green","HOU","SG",82,31.7,19.6,5.2,3.5,6.9,16.2,42.3,2.5,7.4,"2023-24","Non-Playoff"
"Desmond Bane","MEM","SG",42,34.4,23.7,4.4,5.5,8.6,18.5,46.4,3.3,8.6,"2023-24","Non-Playoff"
"Jaren Jackson Jr.","MEM","C",66,32.2,22.5,5.5,2.3,7.8,17.6,44.4,1.8,5.5,"2023-24","Non-Playoff"
"John Konchar","MEM","SF",15,21.3,4.3,4.7,2,1.6,3.8,42.3,0.7,2.2,"2023-24","Non-Playoff"
"Marcus Smart","MEM","PG",20,30.3,14.5,2.7,4.3,5.1,11.9,43,2.1,6.7,"2023-24","Non-Playoff"
"Santi Aldama","MEM","PF",35,26.5,10.7,5.8,2.3,4,9.3,43.5,1.7,5,"2023-24","Non-Playoff"
"Anfernee Simons","POR","SG",46,34.4,22.6,3.6,5.5,7.8,18.2,43,3.4,8.8,"2023-24","Non-Playoff"
"Deandre Ayton","POR","C",55,32.4,16.7,11.1,1.6,7.8,13.6,57,0,0.2,"2023-24","Non-Playoff"
"Jabari Walker","POR","SF",23,23.6,8.9,7.1,1,3.3,7.1,46,0.6,1.9,"2023-24","Non-Playoff"
"Jerami Grant","POR","PF",54,33.9,21,3.5,2.8,7.1,15.7,45.1,2.1,5.1,"2023-24","Non-Playoff"
"Scoot Henderson","POR","PG",32,28.5,14,3.1,5.4,5,12.9,38.5,1.4,4.3,"2023-24","Non-Playoff"
"Devin Vassell","SAS","SG",62,33.1,19.5,3.8,4.1,7.3,15.5,47.2,2.4,6.6,"2023-24","Non-Playoff"
"Jeremy Sochan","SAS","PF",73,29.6,11.6,6.4,3.4,4.6,10.5,43.8,0.9,3.1,"2023-24","Non-Playoff"
"Julian Champagnie","SAS","SF",59,19.8,6.8,2.8,1.4,2.2,5.4,40.8,1.4,3.7,"2023-24","Non-Playoff"
"Tre Jones","SAS","PG",65,29.2,11.3,3.5,6,4.2,9.5,44.2,0.8,2.4,"2023-24","Non-Playoff"
"Victor Wembanyama","SAS","C",71,29.7,21.4,10.6,3.9,7.8,16.7,46.5,1.8,5.5,"2023-24","Non-Playoff"
"Immanuel Quickley","TOR","PG",68,29.2,17,3.8,4.9,5.7,13.1,43.4,2.5,6.4,"2023-24","Non-Playoff"
"Jakob Poeltl","TOR","C",50,26.4,11.1,8.6,2.5,5,7.6,65.6,0,0,"2023-24","Non-Playoff"
"OG Anunoby","TOR","SF",27,33.3,15.1,3.9,2.7,5.8,11.9,48.9,2.3,6,"2023-24","Non-Playoff"
"Pascal Siakam","TOR","PF",80,33.2,21.7,7.1,4.3,8.5,15.9,53.6,1.1,3.1,"2023-24","Non-Playoff"
"Scottie Barnes","TOR","SG",60,34.9,19.9,8.2,6.1,7.5,15.7,47.5,1.7,4.9,"2023-24","Non-Playoff"
"Collin Sexton","UTA","SG",51,26.6,18.7,2.6,4.9,6.5,13.3,48.7,1.6,4.2,"2023-24","Non-Playoff"
"John Collins","UTA","PF",66,28,15.1,8.5,1.1,5.8,11,53.2,1.3,3.4,"2023-24","Non-Playoff"
"Kevonte George","UTA","PG",51,26.6,18.7,2.6,4.9,6.5,13.3,48.7,1.6,4.2,"2023-24","Non-Playoff"
"Lauri Markkanen","UTA","PF",55,33.1,23.2,8.2,2,7.8,16.2,48,3.2,8,"2023-24","Non-Playoff"
"Simone Fontecchio","UTA","SF",43,24.9,10.5,3.7,1.5,3.7,8,46,2,5,"2023-24","Non-Playoff"
"Walker Kessler","UTA","C",40,23.3,8.1,7.5,0.9,3.6,5.5,65.4,0.1,0.3,"2023-24","Non-Playoff"
"Daniel Gafford","WAS","C",50,21,12.3,6.7,1.2,5.5,7.6,72.5,0,0,"2023-24","Non-Playoff"
"Deni Avdija","WAS","SF",82,30.1,14.7,7.2,3.8,5.4,10.7,50.6,1.2,3.1,"2023-24","Non-Playoff"
"Jordan Poole","WAS","SG",78,30.1,17.4,2.7,4.4,6.3,15.2,41.3,2.4,7.2,"2023-24","Non-Playoff"
"Kyle Kuzma","WAS","PF",70,32.6,22.2,6.6,4.2,8.7,18.8,46.3,2.2,6.4,"2023-24","Non-Playoff"
"Tyus Jones","WAS","PG",66,29.3,12,2.7,7.3,4.9,10.1,48.9,1.6,3.9,"2023-24","Non-Playoff"
