"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Donovan Mitchell","UTA","SG",67,33.8,25.9,4.2,5.3,9.1,20.5,44.8,3.5,9.8
"Bradley Beal","WAS","SG",40,36,23.2,4.7,6.6,8.4,18.3,45.1,1.6,5.3
"Dejounte Murray","ATL","SG",74,36.4,20.5,5.3,6.1,8.1,17.6,46,1.8,5
"Jaylen Brown","BOS","SG",67,35.9,26.6,6.9,3.5,10,20.6,48.6,2.4,7.3
"Seth Curry","BKN","SG",42,19.9,9.2,1.6,1.6,3.3,7.3,45.2,1.8,4.4
"Terry Rozier","CHA","SG",63,35.3,21.1,4.1,5.1,7.8,18.9,41.5,2.6,8
"Zach LaVine","CHI","SG",77,36,24.8,4.5,4.2,8.6,18.1,47.5,2.6,7.1
"Donovan Mitchell","CLE","SG",68,35.8,28.3,4.3,4.4,9.9,20.6,48,3.6,9.3
"Spencer Dinwiddie","DAL","SG",68,34,17.3,3.4,5.8,5.8,13,44.6,2.5,6.5
"Kentavious Caldwell-Pope","DEN","SG",76,31.3,10.8,2.7,2.4,4,8.6,46.2,1.8,4.3
"Jaden Ivey","DET","SG",73,31.1,16.3,3.9,5.2,5.8,13.6,41.6,1.6,5.2
"Klay Thompson","GSW","SG",69,33,21.9,4.1,2.4,7.8,18.1,43.6,4.4,10.6
"Jalen Green","HOU","SG",76,34.2,22.1,3.7,3.7,7.7,18.3,42.7,2.5,7.3
"Buddy Hield","IND","SG",73,31,16.8,5,2.8,6,13,46,3.6,8.5
"Paul George","LAC","SG",56,34.6,23.8,6.1,5.1,8.1,17.6,45.7,2.8,7.3
"Patrick Beverley","LAL","SG",54,26.9,6.2,3.7,2.9,2.2,5.6,39.5,1.4,4.1
"Desmond Bane","MEM","SG",58,31.7,21.5,5,4.4,7.5,15.3,49,2.9,7
"Tyler Herro","MIA","SG",67,34.9,20.1,5.4,4.2,7.3,16,45.6,3,7.5
"Grayson Allen","MIL","SG",70,27.4,10.1,3.3,2.3,3.5,7.8,44.9,2,5
"Anthony Edwards","MIN","SG",79,36,24.6,5.8,4.4,9,20.3,45.9,2.7,7.3
"Brandon Ingram","NOP","SG",45,34.2,24.7,5.5,5.8,9,18.1,49.1,1.4,4.1
"Quentin Grimes","NYK","SG",66,29.9,11.3,3.2,2.1,4.1,9,45.9,2.2,5.7
"Josh Giddey","OKC","SG",76,31.1,16.6,7.9,6.2,6.5,13.8,47.6,1,3.5
"Jalen Suggs","ORL","SG",53,23.5,9.9,3,2.9,3.5,8.4,41.9,1.2,3.8
"Tyrese Maxey","PHI","SG",60,33.6,20.3,2.9,3.5,7.2,15.3,47.3,2.7,6.2
"Devin Booker","PHO","SG",53,34.6,27.8,4.5,5.5,10,20.2,49.4,2.1,5.5
"Anfernee Simons","POR","SG",62,35,21.1,2.6,4.1,7.6,17.6,43.7,3.4,9.1
"Kevin Huerter","SAC","SG",75,29.4,15.2,3.3,2.9,5.5,11.2,49.1,2.7,6.8
"Devin Vassell","SAS","SG",38,31,18.5,3.9,3.6,6.7,15.2,43.9,2.7,7
"Gary Trent Jr.","TOR","SG",66,32.1,17.4,2.6,1.6,6.2,14.1,43.3,2.5,7
"Jordan Clarkson","UTA","SG",61,32.6,20.8,4,4.4,7.5,17.3,43.6,2.5,7.3
"Bradley Beal","WAS","SG",50,33.5,23.2,3.9,5.4,8.8,17.6,50.6,1.6,4.2
"Dejounte Murray","ATL","SG",78,35.7,22.5,5.3,6.4,8.6,18.8,45.9,2.6,7.1
"Derrick White","BOS","SG",73,32.6,15.2,4.2,5.2,5.3,11.5,46.1,2.7,6.8
"Cam Thomas","BKN","SG",51,31.4,22.5,3.2,2.9,8,18,44.2,2.2,6
"Terry Rozier","CHA","SG",61,33.4,19.8,4,5.6,7.2,16.4,44.3,2.4,6.7
"Alex Caruso","CHI","SG",57,28.7,10.1,3.8,3.5,3.6,7.6,46.8,1.9,4.7
"Donovan Mitchell","CLE","SG",55,35.3,26.6,5.1,6.1,9.1,19.8,46.2,3.3,9
"Kyrie Irving","DAL","SG",58,35,25.6,5,5.2,9.7,19.5,49.7,3,7.3
"Kentavious Caldwell-Pope","DEN","SG",76,31.6,10.1,2.4,2.4,3.6,7.7,46,1.6,4.1
"Jaden Ivey","DET","SG",61,28.8,15.4,3.4,3.8,5.4,12.6,42.9,1.6,4.8
"Brandin Podziemski","GSW","SG",28,26.6,9.2,5.8,3.7,3.7,8.1,45.4,1.2,3.2
"Jalen Green","HOU","SG",82,31.7,19.6,5.2,3.5,6.9,16.2,42.3,2.5,7.4
"Bruce Brown","IND","SG",67,27.9,10.8,4.2,2.9,4.1,8.7,47.8,0.8,2.4
"Terance Mann","LAC","SG",71,25,8.8,3.4,1.6,3.4,6.6,51.5,0.9,2.7
"Austin Reaves","LAL","SG",57,32.1,15.9,4.3,5.5,5.6,11.5,48.6,1.9,5.1
"Desmond Bane","MEM","SG",42,34.4,23.7,4.4,5.5,8.6,18.5,46.4,3.3,8.6
"Tyler Herro","MIA","SG",40,33.5,20.8,5.3,4.5,7.7,17.5,44.1,3.1,7.9
"Malik Beasley","MIL","SG",77,29.6,11.3,3.7,1.4,4.1,9.1,44.3,2.8,6.9
"Anthony Edwards","MIN","SG",78,35.1,25.9,5.4,5.1,9.1,19.7,46.1,2.4,6.7
"Donte DiVincenzo","NYK","SG",63,29.1,15.5,3.7,2.7,5.5,12.4,44.3,3.5,8.7
"Josh Giddey","OKC","SG",80,25.2,12.3,6.4,4.8,5,10.6,47.5,1,3
"Jalen Suggs","ORL","SG",75,27,12.6,3.1,2.7,4.5,9.5,47.1,2,5.1
"De'Anthony Melton","PHI","SG",33,26.9,11.1,3.7,3,3.7,9.5,38.6,2,5.6
"Bradley Beal","PHO","SG",53,33.3,18.2,4.4,5,7.1,13.9,51.3,1.9,4.4
"Grayson Allen","PHO","SG",74,33.5,13.5,3.9,3,4.5,9.1,49.9,2.7,5.9
"Anfernee Simons","POR","SG",46,34.4,22.6,3.6,5.5,7.8,18.2,43,3.4,8.8
"Kevin Huerter","SAC","SG",64,24.4,10.2,3.5,2.6,3.9,8.8,44.3,1.9,5.3
"Devin Vassell","SAS","SG",62,33.1,19.5,3.8,4.1,7.3,15.5,47.2,2.4,6.6
"Scottie Barnes","TOR","SG",60,34.9,19.9,8.2,6.1,7.5,15.7,47.5,1.7,4.9
"Collin Sexton","UTA","SG",51,26.6,18.7,2.6,4.9,6.5,13.3,48.7,1.6,4.2
"Jordan Poole","WAS","SG",78,30.1,17.4,2.7,4.4,6.3,15.2,41.3,2.4,7.2
