"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA","Year","Category"
"Steven Adams","MEM","C",75,26.3,6.9,10,3.4,2.7,4.5,54.8,0,0.1,"2021-22","Playoff"
"Jaren Jackson Jr.","MEM","PF",78,27.3,16.3,5.8,1.1,5.6,13.2,41.5,1.6,5,"2021-22","Playoff"
"Ja Morant","MEM","PG",57,33.1,27.4,5.7,6.7,10,20.6,49.3,1.5,4.5,"2021-22","Playoff"
"Dillon Brooks","MEM","SG",32,27.7,18.4,3.2,2.8,6.8,16,42.6,1.9,5.5,"2021-22","Playoff"
"Desmond Bane","MEM","SG",76,29.8,18.2,4.4,2.7,6.5,13.5,46.1,3,6.9,"2021-22","Playoff"
"Bam Adebayo","MIA","C",56,32.6,19.1,10.1,3.4,7.3,13,55.7,0,0.1,"2021-22","Playoff"
"P.J. Tucker","MIA","PF",70,27.9,7.6,5.5,2.1,2.8,5.3,48.4,1,2.2,"2021-22","Playoff"
"Kyle Lowry","MIA","PG",63,33.9,13.4,4.5,7.5,4.6,10.7,44,2.3,6.2,"2021-22","Playoff"
"Jimmy Butler","MIA","SF",57,33.9,21.4,5.9,5.5,6.8,13.6,48,0.5,2,"2021-22","Playoff"
"Tyler Herro","MIA","SG",10,32.6,20.7,5,4,7.5,17,44.7,2.7,7,"2021-22","Playoff"
"Brook Lopez","MIL","C",13,22.9,12.4,4.1,0.5,4.6,8.1,46.6,1.2,3.8,"2021-22","Playoff"
"Giannis Antetokounmpo","MIL","PF",67,32.9,29.9,11.6,5.8,10.3,18.6,55.3,1.1,3.6,"2021-22","Playoff"
"Jrue Holiday","MIL","PG",64,32.9,18.3,4.5,6.8,7.1,13.3,50.1,1.9,4.7,"2021-22","Playoff"
"Khris Middleton","MIL","SF",66,32.4,20.1,5.4,5.4,7.1,15.8,44.3,2.5,6.6,"2021-22","Playoff"
"Grayson Allen","MIL","SG",61,27.3,11.1,3.4,1.5,4,8.8,44.8,2.4,5.9,"2021-22","Playoff"
"Joel Embiid","PHI","C",68,33.8,30.6,11.7,4.2,10.2,20.4,49.9,1.4,3.8,"2021-22","Playoff"
"Tobias Harris","PHI","PF",72,34.8,17.2,6.8,3.5,6.8,13.8,48.2,1.4,4,"2021-22","Playoff"
"Tyrese Maxey","PHI","PG",74,35.3,17.5,3.2,4.3,6.8,14,48.5,1.8,4.2,"2021-22","Playoff"
"Danny Green","PHI","SF",28,21.8,5.9,2.5,1,2.1,5.4,39.4,1.7,4.6,"2021-22","Playoff"
"Matisse Thybulle","PHI","SG",50,25.5,5.7,2.3,1.1,2.2,4.4,50,0.9,2.4,"2021-22","Playoff"
"Deandre Ayton","PHO","C",58,29.5,17.2,10.2,1.4,7.8,12,63.4,0.1,0.2,"2021-22","Playoff"
"Jae Crowder","PHO","PF",67,28.1,9.4,5.3,1.9,3.2,7.8,39.9,2.1,5.4,"2021-22","Playoff"
"Chris Paul","PHO","PG",65,32.9,14.7,4.4,10.8,5.5,11.3,49.3,1,2.8,"2021-22","Playoff"
"Mikal Bridges","PHO","SF",82,34.8,14.2,4.2,2.3,5.5,9.6,53.4,1.4,3.8,"2021-22","Playoff"
"Devin Booker","PHO","SG",68,34.5,26.8,5,4.8,9.7,20.9,46.6,2.7,7,"2021-22","Playoff"
"Precious Achiuwa","TOR","C",73,23.6,9.1,6.5,1.1,3.4,7.3,44.9,0.9,2.5,"2021-22","Playoff"
"Pascal Siakam","TOR","PF",68,37.9,22.8,8.5,5.3,8.9,18,49.4,1.3,3.7,"2021-22","Playoff"
"Fred VanVleet","TOR","PG",65,37.9,20.3,4.4,6.7,6.8,16.7,40.3,3.7,9.7,"2021-22","Playoff"
"OG Anunoby","TOR","SF",48,36,17.1,5.5,2.6,6.3,14.6,44.3,2.4,6.6,"2021-22","Playoff"
"Gary Trent Jr.","TOR","SG",70,35,18.3,2.7,2,6.5,15.3,41.4,3,7.8,"2021-22","Playoff"
"Rudy Gobert","UTA","C",56,32.1,15.6,14.7,1.1,5.8,8.2,71.3,0,0.1,"2021-22","Playoff"
"Rudy Gay","UTA","PF",55,18.9,8.1,4.4,1,2.8,6.8,41.2,1.3,3.8,"2021-22","Playoff"
"Mike Conley","UTA","PG",72,28.6,13.7,3,5.3,4.8,10.8,44.4,2.2,5.5,"2021-22","Playoff"
"Bojan Bogdanović","UTA","SF",69,30.9,18.1,4.3,1.7,6.2,13.4,45.5,2.6,6.8,"2021-22","Playoff"
"Donovan Mitchell","UTA","SG",67,33.8,25.9,4.2,5.3,9.1,20.5,44.8,3.5,9.8,"2021-22","Playoff"
"Marcus Smart","BOS","PG",61,32.1,11.5,3.1,6.3,4,9.7,41.2,1.9,5.6,"2022-23","Playoff"
"Jaylen Brown","BOS","SG",67,35.9,26.6,6.9,3.5,10,20.6,48.6,2.4,7.3,"2022-23","Playoff"
"Jayson Tatum","BOS","SF",74,36.9,30.1,8.8,4.6,10.5,22,47.5,3.2,9.3,"2022-23","Playoff"
"Al Horford","BOS","PF",63,30.5,9.8,6.2,3,3.5,7.3,48,2.3,5.5,"2022-23","Playoff"
"Robert Williams III","BOS","C",35,23.5,8,8.3,1.4,3.4,5,68,0,0,"2022-23","Playoff"
"Kyrie Irving","BKN","PG",60,37.2,27.1,5.1,5.5,9.6,20.2,47.5,3.3,8.3,"2022-23","Playoff"
"Seth Curry","BKN","SG",42,19.9,9.2,1.6,1.6,3.3,7.3,45.2,1.8,4.4,"2022-23","Playoff"
"Kevin Durant","BKN","SF",47,35.7,29.1,6.7,5,10,17.2,51.8,1.8,5,"2022-23","Playoff"
"Royce O'Neale","BKN","PF",53,31,8.8,5.1,3.7,3,7.1,42.3,2.1,5.5,"2022-23","Playoff"
"Nic Claxton","BKN","C",76,29.9,12.6,9.2,1.9,5.5,7,70.5,0,0,"2022-23","Playoff"
"Darius Garland","CLE","PG",69,35.5,21.6,2.7,7.8,7.5,16.1,46.2,2.5,6.7,"2022-23","Playoff"
"Donovan Mitchell","CLE","SG",68,35.8,28.3,4.3,4.4,9.9,20.6,48,3.6,9.3,"2022-23","Playoff"
"Caris LeVert","CLE","SF",30,30,12.1,3.8,3.9,4.3,10,43.1,1.6,4.1,"2022-23","Playoff"
"Evan Mobley","CLE","PF",79,34.4,16.2,9,2.8,6.7,12,55.4,0.3,1.3,"2022-23","Playoff"
"Jarrett Allen","CLE","C",68,32.6,14.3,9.8,1.7,5.8,9.3,62.6,0,0.1,"2022-23","Playoff"
"Jamal Murray","DEN","PG",65,32.8,20,4,6.2,7.3,16.1,45.4,2.6,6.5,"2022-23","Playoff"
"Kentavious Caldwell-Pope","DEN","SG",76,31.3,10.8,2.7,2.4,4,8.6,46.2,1.8,4.3,"2022-23","Playoff"
"Michael Porter Jr.","DEN","SF",62,29,17.4,5.5,1,6.7,13.8,48.7,2.5,6,"2022-23","Playoff"
"Aaron Gordon","DEN","PF",68,30.2,16.3,6.6,3,6.1,10.8,56.4,0.9,2.6,"2022-23","Playoff"
"Nikola Jokić","DEN","C",69,33.7,24.5,11.8,9.8,9.3,14.7,63.2,0.9,2.3,"2022-23","Playoff"
"Stephen Curry","GSW","PG",56,34.7,29.4,6.1,6.3,10.2,20.2,49.3,4.9,11.4,"2022-23","Playoff"
"Klay Thompson","GSW","SG",69,33,21.9,4.1,2.4,7.8,18.1,43.6,4.4,10.6,"2022-23","Playoff"
"Andrew Wiggins","GSW","SF",37,32.2,17.1,5,2.3,6.5,14,47.3,2.4,6,"2022-23","Playoff"
"Draymond Green","GSW","PF",73,31.5,8.5,7.2,6.8,3.3,6.4,52.7,0.6,2,"2022-23","Playoff"
"Kevon Looney","GSW","C",82,23.9,7,9.3,2.5,3,4.5,63,0,0,"2022-23","Playoff"
"Reggie Jackson","LAC","PG",68,25.7,10.2,2.2,3.4,3.7,9.2,40.8,1.5,4.5,"2022-23","Playoff"
"Paul George","LAC","SG",56,34.6,23.8,6.1,5.1,8.1,17.6,45.7,2.8,7.3,"2022-23","Playoff"
"Kawhi Leonard","LAC","SF",52,33.6,23.8,6.5,3.9,8.9,17,51.2,1.9,4.9,"2022-23","Playoff"
"Marcus Morris Sr.","LAC","PF",65,28.1,11.2,4,1.8,4.1,10,41,1.7,5,"2022-23","Playoff"
"Ivica Zubac","LAC","C",76,28.6,10.8,9.9,1,4.3,7,63.4,0,0,"2022-23","Playoff"
"Ja Morant","MEM","PG",59,31.9,26.2,5.9,8.1,9.1,19.4,46.6,1.5,4.5,"2022-23","Playoff"
"Desmond Bane","MEM","SG",58,31.7,21.5,5,4.4,7.5,15.3,49,2.9,7,"2022-23","Playoff"
"Dillon Brooks","MEM","SF",73,30.3,14.3,3.3,2.6,5.3,13.6,39.6,2,6,"2022-23","Playoff"
"Jaren Jackson Jr.","MEM","PF",63,28.4,18.6,6.8,1,6.5,13.1,49.4,1.6,4.4,"2022-23","Playoff"
"Steven Adams","MEM","C",42,27,8.6,11.5,2.3,3.4,5.8,59.7,0,0.1,"2022-23","Playoff"
"Jrue Holiday","MIL","PG",65,33.4,19.3,5.1,7.4,7.2,14.5,49.7,2.4,6.1,"2022-23","Playoff"
"Grayson Allen","MIL","SG",70,27.4,10.1,3.3,2.3,3.5,7.8,44.9,2,5,"2022-23","Playoff"
"Khris Middleton","MIL","SF",33,24.3,15.1,4.2,4.9,5.4,12.1,44,1.8,5,"2022-23","Playoff"
"Giannis Antetokounmpo","MIL","PF",63,32.1,31.1,11.8,5.7,11.3,20.3,55.7,0.7,2.7,"2022-23","Playoff"
"Brook Lopez","MIL","C",78,30.4,15.9,6.7,1.3,5.8,11,52.7,1.7,4.7,"2022-23","Playoff"
"Jalen Brunson","NYK","PG",68,35,24,3.5,6.2,8.6,17.6,49.1,2,4.7,"2022-23","Playoff"
"Quentin Grimes","NYK","SG",66,29.9,11.3,3.2,2.1,4.1,9,45.9,2.2,5.7,"2022-23","Playoff"
"RJ Barrett","NYK","SF",73,33.9,19.6,5,2.8,6.8,16,42.6,1.7,5.2,"2022-23","Playoff"
"Julius Randle","NYK","PF",77,35.5,25.1,10,4.1,8.7,19.4,44.8,2.8,8.3,"2022-23","Playoff"
"Mitchell Robinson","NYK","C",58,27,7.4,9.4,0.9,3.2,4.3,67.1,0,0,"2022-23","Playoff"
"James Harden","PHI","PG",58,36.8,21,6.1,10.7,6.5,14.9,43.6,2.8,7.3,"2022-23","Playoff"
"Tyrese Maxey","PHI","SG",60,33.6,20.3,2.9,3.5,7.2,15.3,47.3,2.7,6.2,"2022-23","Playoff"
"Tobias Harris","PHI","SF",74,32.9,14.7,5.7,2.5,5.6,11.5,48.7,1.7,4.4,"2022-23","Playoff"
"P.J. Tucker","PHI","PF",75,25.6,3.5,3.9,0.8,1.3,3,42.7,0.9,2.3,"2022-23","Playoff"
"Joel Embiid","PHI","C",66,34.6,33.1,10.2,4.2,11.5,20,54.8,1,3,"2022-23","Playoff"
"Chris Paul","PHO","PG",59,32,13.9,4.3,8.9,5.1,11,46.4,1.7,4.3,"2022-23","Playoff"
"Devin Booker","PHO","SG",53,34.6,27.8,4.5,5.5,10,20.2,49.4,2.1,5.5,"2022-23","Playoff"
"Mikal Bridges","PHO","SF",82,35.6,20.1,4.4,3.3,7.3,14.5,50.1,2,5,"2022-23","Playoff"
"Cameron Johnson","PHO","PF",42,24.9,13.9,3.5,1.5,4.8,10,47,2.5,6,"2022-23","Playoff"
"Deandre Ayton","PHO","C",67,30.4,18,10,1.7,8.1,13.5,59,0.1,0.2,"2022-23","Playoff"
"De'Aaron Fox","SAC","PG",73,33.4,25,4.2,6.1,9.3,18.2,51.1,1.6,4.9,"2022-23","Playoff"
"Kevin Huerter","SAC","SG",75,29.4,15.2,3.3,2.9,5.5,11.2,49.1,2.7,6.8,"2022-23","Playoff"
"Harrison Barnes","SAC","SF",82,32.5,15,4.5,1.6,4.8,10.2,47.3,1.6,4.5,"2022-23","Playoff"
"Keegan Murray","SAC","PF",80,29.8,12.2,4.6,1.2,4.3,9.7,44.6,2.6,6.3,"2022-23","Playoff"
"Domantas Sabonis","SAC","C",79,34.6,19.1,12.3,7.3,7.3,11.8,62,0.4,1.1,"2022-23","Playoff"
"Derrick White","BOS","SG",73,32.6,15.2,4.2,5.2,5.3,11.5,46.1,2.7,6.8,"2023-24","Playoff"
"Jaylen Brown","BOS","SF",70,33.5,23,5.5,3.6,9,17.9,49.9,2.1,5.9,"2023-24","Playoff"
"Jayson Tatum","BOS","PF",74,35.7,26.9,8.1,4.9,9.1,19.3,47.1,3.1,8.2,"2023-24","Playoff"
"Jrue Holiday","BOS","PG",69,32.8,12.5,5.4,4.8,4.8,10,48,2,4.7,"2023-24","Playoff"
"Kristaps Porziņģis","BOS","C",57,29.6,20.1,7.2,2,6.8,13.2,51.6,1.9,5.1,"2023-24","Playoff"
"Darius Garland","CLE","PG",57,33.4,18,2.7,6.5,6.6,14.8,44.6,2.3,6.2,"2023-24","Playoff"
"Donovan Mitchell","CLE","SG",55,35.3,26.6,5.1,6.1,9.1,19.8,46.2,3.3,9,"2023-24","Playoff"
"Evan Mobley","CLE","PF",50,30.6,15.7,9.4,3.2,6.4,11,58,0.4,1.2,"2023-24","Playoff"
"Jarrett Allen","CLE","C",77,31.7,16.5,10.5,2.7,6.7,10.6,63.4,0,0.1,"2023-24","Playoff"
"Max Strus","CLE","SF",70,32,12.2,4.8,4,4.3,10.4,41.8,2.4,6.8,"2023-24","Playoff"
"Dereck Lively II","DAL","C",42,23.5,8.8,6.9,1.1,4,5.4,74.7,0,0,"2023-24","Playoff"
"Derrick Jones Jr.","DAL","SF",66,23.5,8.6,3.3,1,3.1,6.5,48.3,1.1,3.1,"2023-24","Playoff"
"Grant Williams","DAL","PF",38,27.6,10.1,4.1,2,3.7,8.3,45,1.4,3.4,"2023-24","Playoff"
"Kyrie Irving","DAL","SG",58,35,25.6,5,5.2,9.7,19.5,49.7,3,7.3,"2023-24","Playoff"
"Luka Dončić","DAL","PG",70,37.5,33.9,9.2,9.8,11.5,23.6,48.7,4.1,10.6,"2023-24","Playoff"
"Aaron Gordon","DEN","PF",73,31.5,13.9,6.5,3.5,5.5,9.8,55.6,0.5,1.9,"2023-24","Playoff"
"Jamal Murray","DEN","PG",59,31.5,21.2,4.1,6.5,8,16.7,48.1,2.5,5.8,"2023-24","Playoff"
"Kentavious Caldwell-Pope","DEN","SG",76,31.6,10.1,2.4,2.4,3.6,7.7,46,1.6,4.1,"2023-24","Playoff"
"Michael Porter Jr.","DEN","SF",81,31.7,16.7,7,1.5,6.4,13.3,48.4,2.7,6.8,"2023-24","Playoff"
"Nikola Jokić","DEN","C",79,34.6,26.4,12.4,9,10.4,17.9,58.3,1.1,2.9,"2023-24","Playoff"
"Aaron Nesmith","IND","SF",47,27.7,12.2,3.8,1.5,4.4,8.8,49.6,1.9,4.6,"2023-24","Playoff"
"Bruce Brown","IND","SG",67,27.9,10.8,4.2,2.9,4.1,8.7,47.8,0.8,2.4,"2023-24","Playoff"
"Myles Turner","IND","C",77,27,17.1,6.9,1.3,6.2,11.8,52.4,1.5,4.2,"2023-24","Playoff"
"Pascal Siakam","IND","PF",80,33.2,21.7,7.1,4.3,8.5,15.9,53.6,1.1,3.1,"2023-24","Playoff"
"Tyrese Haliburton","IND","PG",68,32.2,20.1,3.9,10.9,7.2,15.2,47.7,2.8,7.8,"2023-24","Playoff"
"Ivica Zubac","LAC","C",68,26.4,11.7,9.2,1.4,5,7.6,64.9,0,0,"2023-24","Playoff"
"James Harden","LAC","PG",72,34.3,16.6,5.1,8.5,4.9,11.4,42.8,2.6,6.8,"2023-24","Playoff"
"Kawhi Leonard","LAC","SF",68,34.3,23.7,6.1,3.6,9,17.1,52.5,2.1,4.9,"2023-24","Playoff"
"Paul George","LAC","PF",74,33.8,22.6,5.2,3.5,7.9,16.7,47.1,3.3,7.9,"2023-24","Playoff"
"Terance Mann","LAC","SG",71,25,8.8,3.4,1.6,3.4,6.6,51.5,0.9,2.7,"2023-24","Playoff"
"Brook Lopez","MIL","C",79,30.5,12.5,5.2,1.6,4.6,9.6,48.5,1.9,5.1,"2023-24","Playoff"
"Damian Lillard","MIL","PG",73,35.3,24.3,4.4,7,7.4,17.5,42.4,3,8.5,"2023-24","Playoff"
"Giannis Antetokounmpo","MIL","PF",73,35.2,30.4,11.5,6.5,11.5,18.8,61.1,0.5,1.7,"2023-24","Playoff"
"Khris Middleton","MIL","SF",55,27,15.1,4.7,5.3,5.8,11.7,49.3,1.7,4.5,"2023-24","Playoff"
"Malik Beasley","MIL","SG",77,29.6,11.3,3.7,1.4,4.1,9.1,44.3,2.8,6.9,"2023-24","Playoff"
"Anthony Edwards","MIN","SG",78,35.1,25.9,5.4,5.1,9.1,19.7,46.1,2.4,6.7,"2023-24","Playoff"
"Jaden McDaniels","MIN","SF",71,29.2,10.5,3.1,1.4,4.3,8.7,48.9,1.2,3.5,"2023-24","Playoff"
"Karl-Anthony Towns","MIN","PF",62,32.7,21.8,8.3,3,7.7,15.3,50.4,2.2,5.3,"2023-24","Playoff"
"Mike Conley","MIN","PG",76,28.9,11.4,2.9,5.9,3.9,8.5,45.7,2.4,5.3,"2023-24","Playoff"
"Rudy Gobert","MIN","C",76,34.1,14,12.9,1.3,5.3,8.1,66.2,0,0,"2023-24","Playoff"
"Donte DiVincenzo","NYK","SG",63,29.1,15.5,3.7,2.7,5.5,12.4,44.3,3.5,8.7,"2023-24","Playoff"
"Isaiah Hartenstein","NYK","C",49,25.3,7.8,8.3,2.5,3.1,4.9,64.4,0,0,"2023-24","Playoff"
"Jalen Brunson","NYK","PG",77,35.4,28.7,3.6,6.7,10.3,21.4,47.9,2.7,6.8,"2023-24","Playoff"
"Josh Hart","NYK","SF",42,33.4,9.4,8.3,4.1,3.6,8.4,43.4,1,3.2,"2023-24","Playoff"
"Julius Randle","NYK","PF",46,35.4,24,9.2,5,8.6,18.2,47.2,1.7,5.3,"2023-24","Playoff"
"Chet Holmgren","OKC","C",82,29.4,16.5,7.9,2.4,6.2,11.6,53,1.6,4.3,"2023-24","Playoff"
"Jalen Williams","OKC","PF",71,31.3,19.1,4,4.5,7.5,14,54,1.5,3.4,"2023-24","Playoff"
"Josh Giddey","OKC","SG",80,25.2,12.3,6.4,4.8,5,10.6,47.5,1,3,"2023-24","Playoff"
"Luguentz Dort","OKC","SF",79,28.4,10.9,3.6,1.4,3.6,8.3,43.8,2,5,"2023-24","Playoff"
"Shai Gilgeous-Alexander","OKC","PG",75,34,30.1,5.5,6.2,10.6,19.8,53.5,1.3,3.6,"2023-24","Playoff"
"Anthony Black","ORL","PG",33,16.9,4.6,2,1.3,1.7,3.6,46.6,0.5,1.4,"2023-24","Playoff"
"Franz Wagner","ORL","SF",72,32.5,19.7,5.3,3.7,7.3,15.2,48.2,1.3,4.6,"2023-24","Playoff"
"Jalen Suggs","ORL","SG",75,27,12.6,3.1,2.7,4.5,9.5,47.1,2,5.1,"2023-24","Playoff"
"Paolo Banchero","ORL","PF",80,35,22.6,6.9,5.4,8,17.6,45.5,1.5,4.4,"2023-24","Playoff"
"Wendell Carter Jr.","ORL","C",48,25.6,11,6.9,1.7,4.1,7.7,52.5,1.2,3.1,"2023-24","Playoff"
"Bradley Beal","PHO","SG",53,33.3,18.2,4.4,5,7.1,13.9,51.3,1.9,4.4,"2023-24","Playoff"
"Devin Booker","PHO","PG",68,36,27.1,4.5,6.9,9.4,19.2,49.2,2.2,6.1,"2023-24","Playoff"
"Grayson Allen","PHO","SG",74,33.5,13.5,3.9,3,4.5,9.1,49.9,2.7,5.9,"2023-24","Playoff"
"Kevin Durant","PHO","PF",75,37.2,27.1,6.6,5,10,19.2,52.3,2.2,5.4,"2023-24","Playoff"
"Jusuf Nurkić","PHO","C",76,27.3,10.9,11,4,4.2,8.3,51,0.3,1.2,"2023-24","Playoff"
