"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Zion Williamson","NOP","PF",29,33,26,7,4.6,9.5,15.6,60.8,0.2,0.6
"Julius Randle","NYK","PF",77,35.5,25.1,10,4.1,8.7,19.4,44.8,2.8,8.3
"Jalen Williams","OKC","PF",75,30.3,14.1,4.5,3.3,5.5,10.2,52.1,1.4,3.4
"Paolo Banchero","ORL","PF",72,33.8,20,6.9,3.7,6.5,15.3,42.7,1.2,4
"P.J. Tucker","PHI","PF",75,25.6,3.5,3.9,0.8,1.3,3,42.7,0.9,2.3
"Cameron Johnson","PHO","PF",42,24.9,13.9,3.5,1.5,4.8,10,47,2.5,6
"Jerami Grant","POR","PF",63,35.7,20.5,4.5,2.4,7,14.6,47.5,2.3,6.1
"Keegan Murray","SAC","PF",80,29.8,12.2,4.6,1.2,4.3,9.7,44.6,2.6,6.3
"Jeremy Sochan","SAS","PF",56,26,11,5.3,2.5,4.3,9.5,45.3,0.6,2
"Scottie Barnes","TOR","PF",77,34.8,15.3,6.6,4.8,5.9,13.1,45.6,1.1,3.7
"Jarred Vanderbilt","UTA","PF",78,24,7.9,7.5,2.4,3.1,5.6,54.8,0.5,1.5
"Kyle Kuzma","WAS","PF",64,35,21.2,7.2,3.7,7.9,17.8,44.8,2.5,7.5
"Jalen Johnson","ATL","PF",52,33.7,16,8.7,3.6,6.4,12.5,51.1,1.3,3.6
"Jayson Tatum","BOS","PF",74,35.7,26.9,8.1,4.9,9.1,19.3,47.1,3.1,8.2
"Dorian Finney-Smith","BKN","PF",56,28.4,8.5,4.7,1.6,3.2,7.5,42.1,1.7,4.9
"P.J. Washington Jr.","CHA","PF",73,30.4,12.9,5.6,1.9,4.8,11.1,43.6,1.8,5.7
"Patrick Williams","CHI","PF",43,27.3,10,3.9,1.5,3.7,8.3,44.3,1.4,3.4
"Evan Mobley","CLE","PF",50,30.6,15.7,9.4,3.2,6.4,11,58,0.4,1.2
"Grant Williams","DAL","PF",38,27.6,10.1,4.1,2,3.7,8.3,45,1.4,3.4
"Aaron Gordon","DEN","PF",73,31.5,13.9,6.5,3.5,5.5,9.8,55.6,0.5,1.9
"Isaiah Stewart","DET","PF",45,30.9,10.9,6.6,1.6,4,8.3,48.7,1.5,3.8
"Jonathan Kuminga","GSW","PF",46,26.3,16.1,4.8,2.2,6.2,11.6,52.9,0.7,2.2
"Jabari Smith Jr.","HOU","PF",76,31.9,13.7,8.1,1.6,5,11,45.4,1.8,5
"Pascal Siakam","IND","PF",80,33.2,21.7,7.1,4.3,8.5,15.9,53.6,1.1,3.1
"Paul George","LAC","PF",74,33.8,22.6,5.2,3.5,7.9,16.7,47.1,3.3,7.9
"LeBron James","LAL","PF",71,35.3,25.7,7.3,8.3,9.6,17.9,54,2.1,5.1
"Santi Aldama","MEM","PF",35,26.5,10.7,5.8,2.3,4,9.3,43.5,1.7,5
"Jimmy Butler","MIA","PF",60,34,20.8,5.3,5,6.6,13.2,49.9,1,2.4
"Giannis Antetokounmpo","MIL","PF",73,35.2,30.4,11.5,6.5,11.5,18.8,61.1,0.5,1.7
"Karl-Anthony Towns","MIN","PF",62,32.7,21.8,8.3,3,7.7,15.3,50.4,2.2,5.3
"Zion Williamson","NOP","PF",70,31.5,22.9,5.8,5,8.9,15.6,57,0.1,0.3
"Julius Randle","NYK","PF",46,35.4,24,9.2,5,8.6,18.2,47.2,1.7,5.3
"Jalen Williams","OKC","PF",71,31.3,19.1,4,4.5,7.5,14,54,1.5,3.4
"Paolo Banchero","ORL","PF",80,35,22.6,6.9,5.4,8,17.6,45.5,1.5,4.4
"Tobias Harris","PHI","PF",70,33.8,17.2,6.5,3.1,6.6,13.6,48.7,1.3,3.7
"Kevin Durant","PHO","PF",75,37.2,27.1,6.6,5,10,19.2,52.3,2.2,5.4
"Jerami Grant","POR","PF",54,33.9,21,3.5,2.8,7.1,15.7,45.1,2.1,5.1
"Harrison Barnes","SAC","PF",82,29,12.2,3,1.2,4.2,8.9,47.4,1.8,4.7
"Jeremy Sochan","SAS","PF",73,29.6,11.6,6.4,3.4,4.6,10.5,43.8,0.9,3.1
"Pascal Siakam","TOR","PF",80,33.2,21.7,7.1,4.3,8.5,15.9,53.6,1.1,3.1
"John Collins","UTA","PF",66,28,15.1,8.5,1.1,5.8,11,53.2,1.3,3.4
"Lauri Markkanen","UTA","PF",55,33.1,23.2,8.2,2,7.8,16.2,48,3.2,8
"Kyle Kuzma","WAS","PF",70,32.6,22.2,6.6,4.2,8.7,18.8,46.3,2.2,6.4
