"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Myles Turner","IND","C",62,29.4,18,7.5,1.4,6.3,11.2,56,1.5,4.2
"Ivica Zubac","LAC","C",76,28.6,10.8,9.9,1,4.3,7,63.4,0,0
"Anthony Davis","LAL","C",54,34,25.9,12.5,2.6,9.3,16.6,56.3,0.4,1.2
"Steven Adams","MEM","C",42,27,8.6,11.5,2.3,3.4,5.8,59.7,0,0.1
"Bam Adebayo","MIA","C",75,34.6,20.4,9.2,3.2,8,14.8,54,0,0.1
"Brook Lopez","MIL","C",78,30.4,15.9,6.7,1.3,5.8,11,52.7,1.7,4.7
"Rudy Gobert","MIN","C",70,30.7,13.4,11.6,1.2,5,7.7,65.9,0,0
"Jonas Valančiūnas","NOP","C",79,24.9,14.1,10.2,1.8,5.5,9.8,55,0.4,1.3
"Mitchell Robinson","NYK","C",58,27,7.4,9.4,0.9,3.2,4.3,67.1,0,0
"Jeremiah Robinson-Earl","OKC","C",43,18.9,6.8,4.2,0.9,2.6,6,43.2,0.9,2.7
"Wendell Carter Jr.","ORL","C",57,29.9,15.2,8.7,2.3,5.6,11,50.3,1.4,3.9
"Joel Embiid","PHI","C",66,34.6,33.1,10.2,4.2,11.5,20,54.8,1,3
"Deandre Ayton","PHO","C",67,30.4,18,10,1.7,8.1,13.5,59,0.1,0.2
"Jusuf Nurkić","POR","C",52,26.8,13.3,9.1,2.9,5,10,51.9,0.8,2.5
"Domantas Sabonis","SAC","C",79,34.6,19.1,12.3,7.3,7.3,11.8,62,0.4,1.1
"Jakob Poeltl","SAS","C",72,26.5,12.5,9.1,2.7,5.5,8.8,62.9,0,0
"Pascal Siakam","TOR","C",71,37.4,24.2,7.8,5.8,8.9,19,46.4,1.3,4.1
"Kelly Olynyk","UTA","C",68,28.6,12.5,6.2,3.7,4.3,8.5,50,1.4,3.8
"Kristaps Porziņģis","WAS","C",65,32.6,23.2,8.4,2.7,8,16.1,49.8,2.1,5.5
"Clint Capela","ATL","C",73,25.8,11.5,10.6,1.2,4.8,8.5,57.1,0,0
"Kristaps Porziņģis","BOS","C",57,29.6,20.1,7.2,2,6.8,13.2,51.6,1.9,5.1
"Nic Claxton","BKN","C",71,29.8,11.8,9.9,2.1,5.2,8.2,62.9,0,0.1
"Nick Richards","CHA","C",51,26.3,9.7,8,0.8,3.9,5.6,69.1,0,0
"Nikola Vučević","CHI","C",74,34.3,18,10.5,3.3,7.7,15.9,48.4,1.2,4.1
"Jarrett Allen","CLE","C",77,31.7,16.5,10.5,2.7,6.7,10.6,63.4,0,0.1
"Dereck Lively II","DAL","C",42,23.5,8.8,6.9,1.1,4,5.4,74.7,0,0
"Nikola Jokić","DEN","C",79,34.6,26.4,12.4,9,10.4,17.9,58.3,1.1,2.9
"Jalen Duren","DET","C",60,29.1,13.8,11.6,2.4,5.7,9.2,61.9,0,0.1
"Kevon Looney","GSW","C",36,16.1,4.5,5.7,1.8,1.9,3.1,59.7,0,0
"Alperen Şengün","HOU","C",63,32.5,21.1,9.3,5,8.4,15.6,53.7,0.5,1.8
"Myles Turner","IND","C",77,27,17.1,6.9,1.3,6.2,11.8,52.4,1.5,4.2
"Ivica Zubac","LAC","C",68,26.4,11.7,9.2,1.4,5,7.6,64.9,0,0
"Anthony Davis","LAL","C",76,35.5,24.7,12.6,3.5,9.4,16.9,55.6,0.4,1.4
"Jaren Jackson Jr.","MEM","C",66,32.2,22.5,5.5,2.3,7.8,17.6,44.4,1.8,5.5
"Bam Adebayo","MIA","C",71,34,19.3,10.4,3.9,7.5,14.3,52.1,0.2,0.6
"Brook Lopez","MIL","C",79,30.5,12.5,5.2,1.6,4.6,9.6,48.5,1.9,5.1
"Rudy Gobert","MIN","C",76,34.1,14,12.9,1.3,5.3,8.1,66.2,0,0
"Jonas Valančiūnas","NOP","C",82,23.5,12.2,8.8,2.1,4.9,8.8,55.9,0.5,1.5
"Isaiah Hartenstein","NYK","C",49,25.3,7.8,8.3,2.5,3.1,4.9,64.4,0,0
"Chet Holmgren","OKC","C",82,29.4,16.5,7.9,2.4,6.2,11.6,53,1.6,4.3
"Wendell Carter Jr.","ORL","C",48,25.6,11,6.9,1.7,4.1,7.7,52.5,1.2,3.1
"Joel Embiid","PHI","C",39,33.6,34.7,11,5.6,11.5,21.8,52.9,1.4,3.6
"Jusuf Nurkić","PHO","C",76,27.3,10.9,11,4,4.2,8.3,51,0.3,1.2
"Deandre Ayton","POR","C",55,32.4,16.7,11.1,1.6,7.8,13.6,57,0,0.2
"Domantas Sabonis","SAC","C",82,35.7,19.4,13.7,8.2,7.7,13,59.4,0.4,1.1
"Victor Wembanyama","SAS","C",71,29.7,21.4,10.6,3.9,7.8,16.7,46.5,1.8,5.5
"Jakob Poeltl","TOR","C",50,26.4,11.1,8.6,2.5,5,7.6,65.6,0,0
"Walker Kessler","UTA","C",40,23.3,8.1,7.5,0.9,3.6,5.5,65.4,0.1,0.3
"Daniel Gafford","WAS","C",50,21,12.3,6.7,1.2,5.5,7.6,72.5,0,0
