Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
De'Aaron Fox,SAC,PG,73,33.4,25,4.2,6.1,9.3,18.2,51.1,1.6,4.9
Kevin Huerter,SAC,SG,75,29.4,15.2,3.3,2.9,5.5,11.2,49.1,2.7,6.8
Harrison Barnes,SAC,SF,82,32.5,15,4.5,1.6,4.8,10.2,47.3,1.6,4.5
Keegan Murray,SAC,PF,80,29.8,12.2,4.6,1.2,4.3,9.7,44.6,2.6,6.3
Domantas Sabonis,SAC,C,79,34.6,19.1,12.3,7.3,7.3,11.8,62,0.4,1.1
Tre Jones,SAS,PG,68,29.2,12.9,3.6,6.6,5.1,11.2,45.9,0.6,2
Devin Vassell,SAS,SG,38,31,18.5,3.9,3.6,6.7,15.2,43.9,2.7,7
Keldon Johnson,SAS,SF,63,32.7,22,5,2.9,8.3,18.4,45.2,2.1,6
Jeremy Sochan,SAS,PF,56,26,11,5.3,2.5,4.3,9.5,45.3,0.6,2
Jakob Poeltl,SAS,C,72,26.5,12.5,9.1,2.7,5.5,8.8,62.9,0,0
Fred VanVleet,TOR,PG,69,36.7,19.3,4.1,7.2,6.3,16.1,39.3,3,8.8
Gary Trent Jr.,TOR,SG,66,32.1,17.4,2.6,1.6,6.2,14.1,43.3,2.5,7
OG Anunoby,TOR,SF,67,35.6,16.8,5,2,6.3,13,48,2.1,5.5
Scottie Barnes,TOR,PF,77,34.8,15.3,6.6,4.8,5.9,13.1,45.6,1.1,3.7
Pascal Siakam,TOR,C,71,37.4,24.2,7.8,5.8,8.9,19,46.4,1.3,4.1
Mike Conley,UTA,PG,67,30.3,11.9,2.7,6.7,4,9.3,43,1.9,5
Jordan Clarkson,UTA,SG,61,32.6,20.8,4,4.4,7.5,17.3,43.6,2.5,7.3
Lauri Markkanen,UTA,SF/PF,66,34.4,25.6,8.6,1.9,8.7,17.3,50,3,7.7
Jarred Vanderbilt,UTA,PF,78,24,7.9,7.5,2.4,3.1,5.6,54.8,0.5,1.5
Kelly Olynyk,UTA,C,68,28.6,12.5,6.2,3.7,4.3,8.5,50,1.4,3.8
Monte Morris,WAS,PG,62,27.3,10.3,3.4,5.3,4,8.7,46.4,1.3,3.2
Bradley Beal,WAS,SG,50,33.5,23.2,3.9,5.4,8.8,17.6,50.6,1.6,4.2
Deni Avdija,WAS,SF,76,26.6,9.2,6.4,2.8,3.3,7.8,42.7,0.9,3
Kyle Kuzma,WAS,PF,64,35,21.2,7.2,3.7,7.9,17.8,44.8,2.5,7.5
Kristaps Porziņģis,WAS,C,65,32.6,23.2,8.4,2.7,8,16.1,49.8,2.1,5.5
